item_code,item_name,total_qty,trx_frequency,avg_qty_per_trx,std_qty,recency,label,class_id,Qty_Velocity,Trx_Velocity,Recency_Ratio,Qty_Velocity_zscore,Trx_Velocity_zscore,Avg_Qty_Per_Trx_zscore,Std_Qty_zscore,Recency_Ratio_zscore,pred_knn,pred_rf,pred_svm,pred_lr,pred_xgb,pred_consensus
103700239,GASTRINAL HD SUSPENSI,2645,542,4.880073800738008,3.9171655972360924,0,Fast Moving,0,2.417733089579525,0.4954296160877514,0.0,0.8443,1.6194,-0.215,-0.2544,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700246,METRONIDAZOLE BENZOATE SUSPENSION,296,30,9.866666666666667,14.3135656256413,21,Medium Moving,1,0.27056672760511885,0.027422303473491772,0.019195612431444242,-0.3978,-0.5188,0.5145,1.1854,-0.3748,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700248,OSTENIL PRE-FILLED SYRINGE,6,2,3.0,2.8284271247461903,133,Slow Moving,2,0.005484460694698354,0.0018281535648994515,0.12157221206581353,-0.5511,-0.6358,-0.49,-0.4052,0.1138,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700249,OSTENIL PLUS PRE-FILLED SYRINGE,5,5,1.0,0.0,466,Slow Moving,2,0.004570383912248629,0.004570383912248629,0.4259597806215722,-0.5516,-0.6232,-0.7826,-0.7969,1.5666,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700252,MEPRO-K LIQUID INJECTION,349,89,3.9213483146067416,5.8799055324452345,0,Medium Moving,1,0.3190127970749543,0.08135283363802559,0.0,-0.3697,-0.2724,-0.3552,0.0174,-0.4664,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700258,ZINC SULFATE SYRUP,3459,224,15.441964285714286,28.107835711973177,0,Fast Moving,0,3.1617915904936016,0.20475319926873858,0.0,1.2747,0.2914,1.3301,3.0958,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700265,POLYMEM 10 CM X 10 CM,468,66,7.090909090909091,5.6343104764872995,11,Medium Moving,1,0.42778793418647165,0.0603290676416819,0.010054844606946984,-0.3068,-0.3685,0.1084,-0.0166,-0.4184,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
1037002651,POLYMEM 10 CM X 10 CM - PAD,169,36,4.694444444444445,5.306704354975046,133,Medium Moving,1,0.15447897623400367,0.03290676416819013,0.12157221206581353,-0.4649,-0.4938,-0.2421,-0.062,0.1138,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700266,POLYMEM 17 CM X 19 CM,746,101,7.3861386138613865,4.987926015950322,0,Medium Moving,1,0.6819012797074955,0.0923217550274223,0.0,-0.1598,-0.2223,0.1516,-0.1061,-0.4664,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
1037002661,POLYMEM 17 CM X 19 CM - PAD,42,12,3.5,1.507556722888818,33,Slow Moving,2,0.038391224862888484,0.010968921389396709,0.03016453382084095,-0.5321,-0.594,-0.4169,-0.5881,-0.3225,Slow Moving,Slow Moving,Medium Moving,Slow Moving,Slow Moving,Slow Moving
103700267,POLYMEM MAX 11 CM X 11 CM,60,6,10.0,0.0,279,Slow Moving,2,0.054844606946983544,0.005484460694698354,0.25502742230347347,-0.5226,-0.619,0.534,-0.7969,0.7508,Medium Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700268,ZIRCUM KID DISPERSIBLE TABLET,101,58,1.7413793103448276,1.132616050017573,5,Medium Moving,1,0.0923217550274223,0.05301645338208409,0.004570383912248629,-0.5009,-0.4019,-0.6741,-0.64,-0.4446,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700272,PYREXIN EXTRA,212,68,3.1176470588235294,1.808185466024837,5,Medium Moving,1,0.19378427787934185,0.062157221206581355,0.004570383912248629,-0.4422,-0.3601,-0.4728,-0.5465,-0.4446,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700273,BONCERIN KAPSUL,53,22,2.409090909090909,1.4362348564112217,32,Slow Moving,2,0.048446069469835464,0.02010968921389397,0.029250457038391225,-0.5263,-0.5522,-0.5764,-0.598,-0.3268,Slow Moving,Slow Moving,Medium Moving,Slow Moving,Slow Moving,Slow Moving
103700274,NORAGES LIQUID INJECTION (10 AMP),6040,220,27.454545454545453,25.796405669289395,0,Fast Moving,0,5.521023765996343,0.20109689213893966,0.0,2.6394,0.2747,3.0874,2.7757,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700275,PURGATIX ENEMA,1977,122,16.204918032786885,16.885094666422578,5,Fast Moving,0,1.8071297989031079,0.11151736745886655,0.004570383912248629,0.4911,-0.1346,1.4417,1.5416,-0.4446,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700277,FENOLIP SUPRA 160 KSS,62,36,1.7222222222222223,1.7338826968250205,11,Slow Moving,2,0.056672760511883,0.03290676416819013,0.010054844606946984,-0.5215,-0.4938,-0.6769,-0.5568,-0.4184,Slow Moving,Slow Moving,Medium Moving,Medium Moving,Slow Moving,Slow Moving
103700278,EFOTAX 1 G  POWDER INJECTION (2 VIAL),948,190,4.989473684210527,3.755756743485264,0,Fast Moving,0,0.8665447897623401,0.1736745886654479,0.0,-0.053,0.1494,-0.199,-0.2767,-0.4664,Fast Moving,Fast Moving,Medium Moving,Medium Moving,Fast Moving,Fast Moving
103700289,PREGAMEP 50 CAPSULE,175,45,3.888888888888889,4.091133551642349,76,Medium Moving,1,0.15996343692870202,0.04113345521023766,0.06946983546617916,-0.4618,-0.4562,-0.36,-0.2303,-0.1349,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700290,PREGAMEP 75 CAPSULE,388,144,2.6944444444444446,3.2950010405206025,8,Medium Moving,1,0.3546617915904936,0.1316270566727605,0.007312614259597806,-0.3491,-0.0427,-0.5347,-0.3406,-0.4315,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700292,CRIAX POWDER INJECTION (2 VIAL),2099,351,5.98005698005698,5.741791755904473,0,Fast Moving,0,1.9186471663619744,0.32084095063985374,0.0,0.5556,0.8218,-0.0541,-0.0017,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700294,SERTRALINE HCL CAPLET,155,47,3.297872340425532,3.6470052849654806,13,Medium Moving,1,0.1416819012797075,0.04296160877513711,0.011882998171846435,-0.4723,-0.4478,-0.4464,-0.2918,-0.4097,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700296,PURGATIX ORAL,5,1,5.0,0.0,369,Slow Moving,2,0.004570383912248629,0.0009140767824497258,0.3372943327239488,-0.5516,-0.6399,-0.1974,-0.7969,1.1434,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700301,MEPROLAR CREAM,140,35,4.0,2.1282414723677108,9,Medium Moving,1,0.12797074954296161,0.031992687385740404,0.008226691042047532,-0.4803,-0.4979,-0.3437,-0.5021,-0.4272,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700302,MEPROLAR-N CREAM,433,96,4.510416666666667,3.0435256275599247,5,Medium Moving,1,0.39579524680073125,0.08775137111517367,0.004570383912248629,-0.3253,-0.2432,-0.269,-0.3754,-0.4446,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700304,TALOX 20 TABLET SALUT SELAPUT,2,2,1.0,0.0,651,Slow Moving,2,0.0018281535648994515,0.0018281535648994515,0.5950639853747715,-0.5532,-0.6358,-0.7826,-0.7969,2.3737,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700308,CO-AMOXICLAV TABLET SALUT SELAPUT,18138,788,23.017766497461928,51.447975860707665,0,Fast Moving,0,16.579524680073128,0.720292504570384,0.0,9.0364,2.6468,2.4383,6.3282,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700310,MEROPENEM 1 G POWDER INJECTION,215,44,4.886363636363637,10.318680078496856,1,Medium Moving,1,0.19652650822669104,0.04021937842778794,0.0009140767824497258,-0.4406,-0.4604,-0.214,0.6322,-0.4621,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700311,CEFTRIAXONE SODIUM SERBUK INJEKSI,7717,406,19.007389162561577,21.719705897590046,0,Fast Moving,0,7.053930530164534,0.3711151736745887,0.0,3.5262,1.0515,1.8517,2.2111,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700312,CEFOTAXIME SODIUM 1 G POWDER INJECTION,1835,171,10.730994152046783,11.499264869340985,13,Fast Moving,0,1.6773308957952469,0.1563071297989031,0.011882998171846435,0.416,0.07,0.6409,0.7957,-0.4097,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700313,CEFOPERAZONE SODIUM SERBUK INJEKSI,223,45,4.955555555555556,4.446426325793229,2,Medium Moving,1,0.20383912248628885,0.04113345521023766,0.0018281535648994515,-0.4364,-0.4562,-0.2039,-0.1811,-0.4577,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700314,RANITIDINE HCL LIQUID INJECTION,5713,294,19.431972789115648,26.165797142875732,36,Fast Moving,0,5.2221206581352835,0.2687385740402194,0.03290676416819013,2.4665,0.5837,1.9138,2.8268,-0.3094,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700315,CEFTAZIDIME POWDER INJECTION,11,2,5.5,6.363961030678928,793,Slow Moving,2,0.010054844606946984,0.0018281535648994515,0.7248628884826326,-0.5485,-0.6358,-0.1243,0.0845,2.9932,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
